local family body tail mid ilab slab post
INLAND 724 167 78 21 20 14 6
INLAND 724 167 77 21 20 14 6
INLAND 724 169 84 21 20 16 7
INLAND 729 164 82 21 20 16 6
INLAND 729 164 80 21 20 16 4
INLAND 729 165 77 21 19 16 4
INLAND 737 166 NA 21 20 16 6
INLAND 737 163 NA 21 20 16 6
INLAND 737 164 80 21 20 16 6
INLAND 737 167 75 21 20 16 6
INLAND 737 167 80 21 20 16 6
INLAND 737 167 81 21 20 16 6
INLAND 737 168 75 21 20 16 6
INLAND 737 169 77 21 20 16 7
INLAND 737 169 79 21 20 16 6
INLAND 737 169 80 21 20 16 6
INLAND 895 165 80 19 20 16 7
INLAND 895 161 84 21 20 16 8
INLAND 895 163 76 19 20 16 5
INLAND 895 164 79 21 20 16 8
INLAND 895 166 81 21 20 16 7
INLAND 895 170 78 19 20 16 8
INLAND 895 173 84 21 20 16 7
INLAND 896 168 84 21 20 16 6
INLAND 896 164 89 21 20 15 6
INLAND 896 165 84 21 20 16 6
INLAND 896 167 81 21 20 16 6
INLAND 896 167 88 21 19 16 6
INLAND 896 168 86 21 20 16 6
INLAND 896 169 84 21 20 16 6
INLAND 896 169 85 21 20 16 6
INLAND 905 164 78 21 20 16 6
INLAND 905 160 82 21 20 16 6
INLAND 905 163 80 21 20 16 6
INLAND 905 160 77 21 20 16 6
INLAND 905 161 83 21 21 15 6
INLAND 905 162 77 21 20 16 6
INLAND 905 167 78 21 20 16 6
INLAND 911 162 82 21 20 16 6
INLAND 911 165 80 21 20 16 6
INLAND 911 165 78 21 20 16 6
INLAND 911 166 80 21 19 16 6
INLAND 911 166 80 21 20 16 7
INLAND 911 166 86 21 20 16 6
INLAND 911 168 82 21 20 16 5
INLAND 911 168 83 21 20 16 6
INLAND 911 172 82 21 20 16 6
INLAND 916 170 76 19 19 16 7
INLAND 916 164 80 21 20 16 7
INLAND 916 164 80 21 20 16 6
INLAND 916 163 75 21 19 15 6
INLAND 918 162 76 19 20 16 6
INLAND 918 159 88 21 20 11 6
INLAND 918 160 86 21 20 14 6
INLAND 918 164 77 21 19 14 6
INLAND 920 173 80 19 20 16 6
INLAND 920  NA 77 19 20 15 6
INLAND 920 159 75 19 20 16 6
INLAND 920 165 86 19 19 16 5
INLAND 920 165 79 19 20 16 4
INLAND 920 166 87 21 20 16 6
INLAND 920 167 81 19 20 16 5
INLAND 924 174 77 21 19 16 7
INLAND 924 162 82 21 20 18 6
INLAND 924 164 82 21 21 16 6
INLAND 924 167 75 21 20 16 7
INLAND 924 167 83 21 20 16 6
INLAND 924 168 80 21 20 16 6
INLAND 924 168 82 21 20 16 6
INLAND 924 170 72 21 20 16 5
INLAND 924 170 76 19 20 16 6
INLAND 929 161 83 19 20 16 6
INLAND 934 171 78 21 20 16 6
INLAND 934 166 76 21 20 16 5
INLAND 939 166 80 19 21 16 7
INLAND 939 NA 74 19 20 16 4
INLAND 939 NA 79 21 19 15 6
INLAND 939 161 78 21 20 16 3
INLAND 939 161 80 21 20 16 6
INLAND 939 165 85 21 21 16 6
INLAND 939 166 79 21 20 17 4
INLAND 939 164 79 21 20 16 6
INLAND 939 168 79 21 20 15 6
INLAND 939 171 92 19 20 13 6
INLAND 940 167 84 19 20 16 7
INLAND 940 NA 80 21 20 16 8
INLAND 947 168 85 21 20 15 5
INLAND 947 NA  NA NA 18 16 5
INLAND 976 163 73 19 20 15 7
INLAND 976  NA NA 21 20 13 6
INLAND 976 165 79 21 20 14 6
INLAND 976 167 79 19 20 16 6
INLAND 976 168 82 21 20 16 6
INLAND 976 170 80 21 19 16 6
INLAND 976 172 82 21 20 16 4
INLAND 986 165 80 21 20 16 6
INLAND 986 165 76 21 20 16 6
INLAND 986 165 81 19 21 17 6
INLAND 986 167 75 19 20 16 6
INLAND 986 167 76 21 20 16 6
INLAND 986 167 84 21 20 16 6
INLAND 986 168 74 21 20 16 6
INLAND 987 165 NA 21 20 16 7
INLAND 987 162 80 21 20 11 6
INLAND 987 164 79 19 20 12 6
INLAND 987 166 80 19 20 NA 6
INLAND 987 166 80 21 20 NA 6
INLAND 998 171 84 19 20 16 6
INLAND 998 167 89 19 20 16 6
INLAND 998 168 79 21 20 16 4
INLAND 1004 166 75 19 20 16 7
INLAND 1004 170 78 19 20 16 4
INLAND 1004 170 83 19 20 16 6
INLAND 1005 166 80 21 21 16 7
INLAND 1005 164 81 21 20 16 6
INLAND 1005 166 83 21 20 16 8
INLAND 1005 169 76 21 20 16 7
INLAND 1008 170 79 19 20 16 7
INLAND 1008 169 77 21 20 16 6
INLAND 1008 171 79 21 20 16 6
INLAND 1011 167 82 21 22 17 6
INLAND 1011 168 78 21 21 16 6
INLAND 1011 168 80 21 20 16 6
INLAND 1011 170 83 21 20 16 7
INLAND 1011 170 86 21 20 16 6
INLAND 1044 164 77 19 20 16 6
INLAND 1044 NA  NA 21 20 16 6
INLAND 1044 NA  NA 21 20 16 6
INLAND 1044 NA  NA 21 20 16 6
INLAND 1044 NA  NA 21 20 16 6
INLAND 1044 NA  NA 21 20 16 7
INLAND 1044 NA  NA 21 21 17 6
INLAND 1044 164 80 19 20 16 6
INLAND 1044 167 75 21 20 16 6
INLAND 1044 167 76 21 20 16 7
INLAND 1044 167 81 21 20 16 6
INLAND 1044 168 83 21 20 16 5
INLAND 1045 164 77 21 21 16 6
INLAND 1045 162 79 19 20 16 6
INLAND 1045 163 NA 21 20 16 6
INLAND 1045 167 81 21 20 16 7
INLAND 1045 168 79 21 20 16 6
INLAND 1045 172 80 19 20 15 6
INLAND 1046 160 78 19 20 16 6
INLAND 1046 161 79 21 20 16 8
INLAND 1046 166 86 21 19 17 6
INLAND 1046 169 83 21 20 16 6
INLAND 1047 169 79 19 20 16 6
INLAND 1047 161 73 21 20 16 6
INLAND 1047 164 80 21 20 16 6
INLAND 1047 166 80 21 20 16 6
INLAND 1047 167 73 21 20 16 7
INLAND 1047 167 77 21 20 16 7
INLAND 1048 170 91 21 20 15 6
INLAND 1048 167 89 21 20 16 6
INLAND 1048 169 83 21 20 15 7
INLAND 1048 170 87 21 20 16 6
INLAND 1048 173 80 21 20 16 6
INLAND 1048 173 80 21 20 16 6
INLAND 1052 171 80 19 20 16 7
INLAND 1052  NA NA 21 20 16 6
INLAND 1052 165 79 21 20 16 6
INLAND 1052 168 79 21 20 15 6
INLAND 1052 171 83 21 19 16 7
INLAND 1052 172 83 21 20 16 6
INLAND 1052 172 84 19 19 16 5
INLAND 1056 170 78 21 20 14 7
INLAND 1056 166 86 19 20 16 8
INLAND 1056 168 87 21 20 16 6
INLAND 1058 165 78 19 20 16 6
INLAND 1058 162 80 21 20 16 6
INLAND 1058 166 83 21 20 16 7
INLAND 1058 167 81 21 20 16 6
INLAND 1058 167 86 21 20 16 6
INLAND 1058 169 81 21 20 16 6
INLAND 1060 169 81 19 20 16 6
INLAND 1169 163 NA 19 20 16 6
INLAND 1169 NA 83 21 20 16 6
INLAND 1169 NA 89 21 21 17 6
INLAND 1169 166 85 21 20 16 6
INLAND 1169 168 83 21 20 16 6
INLAND 1169 168 85 21 19 16 6
INLAND 1169 170 77 21 20 16 6
INLAND 1169 172 85 21 20 16 6
INLAND 1180 169 85 21 20 16 6
INLAND 1180 167 81 19 20 16 7
INLAND 1180 168 81 21 20 16 7
INLAND 1180 171 81 21 20 16 6
INLAND 1180 171 84 21 20 16 7
INLAND 1180 171 89 19 20 16 7
INLAND 1180 172 83 21 19 16 6
INLAND 1185 166 NA 21 20 15 6
INLAND 1185 160 79 21 20 16 7
INLAND 1185 161 79 21 20 14 6
INLAND 1185 162 77 21 20 15 6
INLAND 1185 164 78 21 18 15 6
INLAND 1185 165 77 21 20 16 6
INLAND 1186 168 NA 19 21 16 7
INLAND 1186 NA  NA 19 20 16 7
INLAND 1186 164 85 21 20 16 4
INLAND 1186 169 84 21 20 16 6
INLAND 1186 175 88 19 20 16 5
INLAND 1200 167 76 19 20 15 6
INLAND 1200 163 74 19 20 16 8
INLAND 1200 168 72 19 20 15 8
INLAND 1200 168 76 19 20 15 7
INLAND 1200 168 78 19 20 16 6
INLAND 1200 169 83 21 20 14 7
INLAND 1200 170 77 19 20 13 6
INLAND 1212 171 81 19 20 14 6
INLAND 1227 168 83 21 20 16 6
INLAND 1227 NA  80 21 20 16 7
INLAND 1227 162 78 21 20 16 6
INLAND 1227 164 85 21 20 14 6
INLAND 1227 164 86 21 20 15 6
INLAND 1227 164 83 21 20 14 6
INLAND 1227 165 83 21 20 16 5
